DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2331,53290,8510,63110
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2502,52295,7830,61125
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2655,56565,12445,70600
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2781,71490,12225,86180
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,3004,60310,14845,77430
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,3201,68455,9460,77260
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,875,14960,25960,43610
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,1012,20645,34985,55960
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,961,20645,31630,55290
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,1014,19490,32605,52000
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,1089,18690,31775,51115
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,776,16010,30755,46045
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,965,17850,30640,50175
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",I (55-56),Accommodation and food service activities,1380,19250,37965,59100
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1014,13265,2245,16440
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1180,12805,2905,16060
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1102,19400,3735,22280
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1276,17830,4335,21955
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1333,15550,2840,18520
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1250,17480,6750,24450
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1807,20300,3685,23965
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",J (58-63),Information and communication,1967,19735,3210,23485
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2119,16190,4070,19890
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2069,14420,3620,18180
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2166,15990,4345,21195
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2286,15525,4830,20570
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2289,16765,4475,21605
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2491,15675,4660,19810
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2604,17950,5020,23800
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",K (64-66),Financial and insurance activities,2818,15320,3735,19505
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2165,45840,11000,60570
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2378,50920,12260,66460
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2566,49155,13100,67190
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2693,49675,11255,63770
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2767,55390,17690,74935
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",2834,55400,14510,71020
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",3222,51785,16565,71300
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",M (69-75),"Professional, scientific and technical activities",3687,56180,13650,71335
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2115,54455,22830,78610
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2244,50330,24900,75710
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2283,61975,22880,83265
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2484,55715,24495,81585
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2345,51880,22170,75410
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2038,42670,20800,66060
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2282,55545,24355,81610
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",N (77-82),Administrative and support service activities,2635,57995,27390,85550
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1447,20550,7270,28800
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1571,21600,7230,29150
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1535,20250,8115,28750
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1618,22400,8450,30850
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1678,22450,8450,30700
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1674,20950,7375,28700
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,1997,23700,8750,32450
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",O (84),Public administration and defence,2177,26700,8150,35100
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,2824,39250,36100,75025
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,2839,34940,36990,73080
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,2950,35845,36615,72560
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,3112,41145,35340,76235
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,3267,42740,36985,78730
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,3453,41365,35910,78275
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,3466,42265,37085,77900
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",P (85),Education,3667,42740,32035,74350
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3000,51800,39775,93600
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3318,51425,44350,96700
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3275,58300,43625,101650
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3317,53625,43025,97850
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3311,50750,38775,90025
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3593,54475,41550,97800
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3744,58300,44375,103450
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",Q (86-88),Human health and social work activities,3800,63500,46275,108800
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",R (90-93),"Arts, entertainment and recreation",647,9755,8490,18440
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",R (90-93),"Arts, entertainment and recreation",674,9475,8955,18965
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",R (90-93),"Arts, entertainment and recreation",815,6785,10290,17400
