DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2022,TLE2,North Yorkshire,G-T,Services sector,17116,187810,129990,328785
2015,TLE3,South Yorkshire,A-E,Production sector,3778,60065,4995,66950
2016,TLE3,South Yorkshire,A-E,Production sector,3628,53090,4805,60840
2017,TLE3,South Yorkshire,A-E,Production sector,3857,59795,5430,67240
2018,TLE3,South Yorkshire,A-E,Production sector,3997,64625,5895,71810
2019,TLE3,South Yorkshire,A-E,Production sector,4159,57665,5740,65145
2020,TLE3,South Yorkshire,A-E,Production sector,4118,60690,5935,67565
2021,TLE3,South Yorkshire,A-E,Production sector,4140,60045,5895,67770
2022,TLE3,South Yorkshire,A-E,Production sector,4341,60215,6155,68765
2015,TLE3,South Yorkshire,F (41-43),Construction,1805,23565,3085,27830
2016,TLE3,South Yorkshire,F (41-43),Construction,1874,24595,3675,30065
2017,TLE3,South Yorkshire,F (41-43),Construction,2034,24500,3175,28500
2018,TLE3,South Yorkshire,F (41-43),Construction,2053,21430,2715,24685
2019,TLE3,South Yorkshire,F (41-43),Construction,2164,27960,3575,33060
2020,TLE3,South Yorkshire,F (41-43),Construction,1832,25250,5035,31400
2021,TLE3,South Yorkshire,F (41-43),Construction,2057,23535,3455,28135
2022,TLE3,South Yorkshire,F (41-43),Construction,2434,26385,3025,31360
2015,TLE3,South Yorkshire,G-T,Services sector,17321,287780,167150,470985
2016,TLE3,South Yorkshire,G-T,Services sector,17712,290020,177520,476525
2017,TLE3,South Yorkshire,G-T,Services sector,18292,290535,174260,476830
2018,TLE3,South Yorkshire,G-T,Services sector,18292,292730,174995,479655
2019,TLE3,South Yorkshire,G-T,Services sector,19038,285960,183230,483765
2020,TLE3,South Yorkshire,G-T,Services sector,19312,290560,174475,472130
2021,TLE3,South Yorkshire,G-T,Services sector,20996,292685,191720,496680
2022,TLE3,South Yorkshire,G-T,Services sector,22850,301765,189785,499145
2015,TLE4,West Yorkshire,A-E,Production sector,8860,114935,10070,130055
2016,TLE4,West Yorkshire,A-E,Production sector,8611,105360,9565,118945
2017,TLE4,West Yorkshire,A-E,Production sector,8881,113590,10645,129585
2018,TLE4,West Yorkshire,A-E,Production sector,9210,121585,12190,138010
2019,TLE4,West Yorkshire,A-E,Production sector,9380,114330,13385,131245
2020,TLE4,West Yorkshire,A-E,Production sector,8727,107875,12075,124040
2021,TLE4,West Yorkshire,A-E,Production sector,9038,117380,14295,135225
2022,TLE4,West Yorkshire,A-E,Production sector,9571,114560,12725,130880
2015,TLE4,West Yorkshire,F (41-43),Construction,2872,38900,4585,47490
2016,TLE4,West Yorkshire,F (41-43),Construction,2971,41510,6315,49140
2017,TLE4,West Yorkshire,F (41-43),Construction,3172,41850,5610,49495
2018,TLE4,West Yorkshire,F (41-43),Construction,3424,35660,4670,43005
2019,TLE4,West Yorkshire,F (41-43),Construction,3605,48050,6730,55685
2020,TLE4,West Yorkshire,F (41-43),Construction,2842,41220,9210,53395
2021,TLE4,West Yorkshire,F (41-43),Construction,3417,38130,7255,47070
2022,TLE4,West Yorkshire,F (41-43),Construction,4056,41460,5035,49740
2015,TLE4,West Yorkshire,G-T,Services sector,35304,553145,304900,877605
2016,TLE4,West Yorkshire,G-T,Services sector,36079,551670,312920,883300
2017,TLE4,West Yorkshire,G-T,Services sector,37741,553240,318405,891000
2018,TLE4,West Yorkshire,G-T,Services sector,39642,564945,318250,907785
2019,TLE4,West Yorkshire,G-T,Services sector,40597,560755,318805,905380
2020,TLE4,West Yorkshire,G-T,Services sector,39729,558275,305850,889745
2021,TLE4,West Yorkshire,G-T,Services sector,44103,571935,334660,922160
2022,TLE4,West Yorkshire,G-T,Services sector,48352,596085,337550,953915
2015,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,10175,134300,11815,155685
2016,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,9991,129815,13390,151300
2017,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,10001,141625,13840,164470
2018,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,10438,134905,12290,156550
2019,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,11440,135730,11605,155525
2020,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,11710,127420,12740,148675
2021,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,11878,121485,13175,143390
2022,TLF1,Derbyshire and Nottinghamshire,A-E,Production sector,11853,117615,11565,139450
2015,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,2886,41790,6165,51105
2016,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3016,44195,6360,51205
2017,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3124,35830,7450,47105
2018,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3194,35865,7940,48790
2019,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3354,40025,6565,49560
2020,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3239,38190,6390,46625
2021,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,3550,39455,7340,50740
2022,TLF1,Derbyshire and Nottinghamshire,F (41-43),Construction,4039,47430,8070,59290
2015,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,27485,450275,277750,755675
2016,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,28553,457525,292265,768355
2017,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,29731,439460,281670,737015
2018,TLF1,Derbyshire and Nottinghamshire,G-T,Services sector,30860,454735,280100,755765
