DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2018,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",61,430,190,820
2019,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",66,530,275,860
2020,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",82,565,225,770
2021,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",77,640,185,870
2022,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",80,495,230,775
2015,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",289,3955,1490,4705
2016,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",330,4530,1135,5515
2017,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",365,3915,1130,5120
2018,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",419,4505,1020,5595
2019,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",373,4285,1315,5695
2020,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",376,4425,1185,5690
2021,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",383,4370,935,5480
2022,TLM73,East Lothian and Midlothian,M (69-75),"Professional, scientific and technical activities",374,5525,820,6645
2015,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,45,1140,1110,1850
2016,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,50,1400,865,2400
2017,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,53,1615,975,2965
2018,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,58,1935,1235,3430
2019,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,61,2600,1125,4030
2020,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,46,3110,1340,4835
2021,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,68,2775,1525,4380
2022,TLM73,East Lothian and Midlothian,N (77-82),Administrative and support service activities,63,2510,1760,4335
2015,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,236,2960,1740,3980
2016,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,253,3020,895,3990
2017,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,261,2820,930,3750
2018,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,266,2820,880,3750
2019,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,273,2560,1040,3800
2020,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,257,2700,970,3450
2021,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,270,2810,1080,3770
2022,TLM73,East Lothian and Midlothian,O (84),Public administration and defence,265,2710,1080,3760
2015,TLM73,East Lothian and Midlothian,P (85),Education,265,3480,5850,6165
2016,TLM73,East Lothian and Midlothian,P (85),Education,264,3450,2975,6125
2017,TLM73,East Lothian and Midlothian,P (85),Education,272,3495,3015,6695
2018,TLM73,East Lothian and Midlothian,P (85),Education,280,3430,2980,6620
2019,TLM73,East Lothian and Midlothian,P (85),Education,301,3760,2945,6685
2020,TLM73,East Lothian and Midlothian,P (85),Education,254,3940,2985,7135
2021,TLM73,East Lothian and Midlothian,P (85),Education,279,3750,3270,7235
2022,TLM73,East Lothian and Midlothian,P (85),Education,316,3980,3470,7355
2015,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,262,4525,8250,8750
2016,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,251,4230,4225,8735
2017,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,263,4300,4180,8215
2018,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,274,4590,3530,8225
2019,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,265,4265,3780,8415
2020,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,211,4130,4270,8600
2021,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,268,4340,4055,8775
2022,TLM73,East Lothian and Midlothian,Q (86-88),Human health and social work activities,297,4775,3885,8750
2015,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",61,1135,2430,2465
2016,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",55,1385,1505,3035
2017,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",55,930,1680,2650
2018,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",55,1175,1330,2605
2019,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",54,1045,1535,2635
2020,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",42,1035,1020,2150
2021,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",42,980,1280,2385
2022,TLM73,East Lothian and Midlothian,R (90-93),"Arts, entertainment and recreation",43,1290,1490,2795
2015,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,65,680,840,1230
2016,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,79,730,560,1410
2017,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,91,660,595,1365
2018,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,90,730,500,1295
2019,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,79,595,465,1125
2020,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,52,565,485,1190
2021,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,52,770,535,1380
2022,TLM73,East Lothian and Midlothian,S (94-96),Other service activities,65,760,470,1380
2015,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,4,0,0,0
2016,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,5,0,0,0
2017,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,6,0,0,0
2018,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,8,0,0,0
2019,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,8,0,0,0
2020,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,6,0,0,0
2021,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,5,0,0,0
2022,TLM73,East Lothian and Midlothian,T (97-98),Activities of households,4,0,0,0
2015,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",72,320,30,375
2016,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",72,340,40,455
2017,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",65,330,40,370
2018,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",63,470,120,770
2019,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",78,450,145,755
2020,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",69,395,95,580
2021,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",54,440,75,630
2022,TLM75,"Edinburgh, City of",AB (1-9),"Agriculture, forestry and fishing; mining and quarrying",55,720,120,1035
2015,TLM75,"Edinburgh, City of",C (10-33),Manufacturing,844,6655,2280,7930
2016,TLM75,"Edinburgh, City of",C (10-33),Manufacturing,911,6890,525,7675
2017,TLM75,"Edinburgh, City of",C (10-33),Manufacturing,954,7420,580,8250
2018,TLM75,"Edinburgh, City of",C (10-33),Manufacturing,952,7870,740,8660
2019,TLM75,"Edinburgh, City of",C (10-33),Manufacturing,1070,7325,535,7900
