DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLC22,CA (10-12),3100,274,Tyneside,"Manufacture of food, beverages and tobacco"
2015,TLC22,CB (13-15),635,41,Tyneside,"Manufacture of textiles, wearing apparel and leather"
2015,TLC22,CC (16-18),5070,168,Tyneside,Manufacture of wood and paper products and printing
2015,TLC22,CD-CG (19-23),5355,551,Tyneside,"Manufacture of petroleum, chemicals and other minerals"
2015,TLC22,CH (24-25),5730,317,Tyneside,Manufacture of basic and fabricated metal products
2015,TLC22,CI-CJ (26-27),2850,147,Tyneside,"Manufacture of electronic, optical and electrical products"
2015,TLC22,CK-CL (28-30),4995,403,Tyneside,Manufacture of machinery and transport equipment
2015,TLC22,DE (35-39),1540,133,Tyneside,"Electricity, gas, water; sewerage and waste management"
2015,TLC22,K (64-66),7795,1041,Tyneside,Financial and insurance activities
2015,TLC22,O (84),19800,1331,Tyneside,Public administration and defence
2015,TLC22,P (85),23450,1311,Tyneside,Education
2015,TLC22,T (97-98),0,22,Tyneside,Activities of households
2015,TLC23,31-32,935,21,Sunderland,Manufacture of furniture; other manufacturing
2015,TLC23,33,325,16,Sunderland,Repair and installation of machinery and equipment
2015,TLC23,41,1335,77,Sunderland,Construction of buildings
2015,TLC23,42,655,87,Sunderland,Civil engineering
2015,TLC23,43,2240,158,Sunderland,Specialised construction activities
2015,TLC23,45,1825,90,Sunderland,Motor trades
2015,TLC23,46,2310,92,Sunderland,Wholesale trade
2015,TLC23,47,3915,297,Sunderland,Retail trade
2015,TLC23,49-51,2550,75,Sunderland,"Land, water and air transport"
2015,TLC23,52,1850,114,Sunderland,Warehousing and transport support activities
2015,TLC23,53,725,24,Sunderland,Postal and courier activities
2015,TLC23,55,365,13,Sunderland,Accommodation
2015,TLC23,56,1750,90,Sunderland,Food and beverage service activities
2015,TLC23,58-60,480,11,Sunderland,Publishing; film and TV production and broadcasting
2015,TLC23,61-63,2225,294,Sunderland,Telecommunications; information technology
2015,TLC23,68,1290,380,Sunderland,"Real estate activities, excluding imputed rental"
2015,TLC23,69,660,26,Sunderland,Legal and accounting activities
2015,TLC23,70,695,15,Sunderland,Head offices and management consultancy
2015,TLC23,71,2290,25,Sunderland,Architectural and engineering activities
2015,TLC23,72-73,95,2,Sunderland,Research and development; advertising and market research
2015,TLC23,74-75,235,13,Sunderland,"Other professional, scientific and technical activities"
2015,TLC23,77,215,18,Sunderland,Rental and leasing activities
2015,TLC23,78-80,1870,82,Sunderland,Employment activities; tourism and security services
2015,TLC23,81,605,26,Sunderland,Services to buildings and landscape activities
2015,TLC23,82,2500,74,Sunderland,Office administration and business support activities
2015,TLC23,86,6460,347,Sunderland,Human health activities
2015,TLC23,87,1685,65,Sunderland,Residential care activities
2015,TLC23,88,2750,66,Sunderland,Social work activities
2015,TLC23,90-91,190,7,Sunderland,"Creative, arts, entertainment and cultural activities"
2015,TLC23,92-93,605,96,Sunderland,Gambling and betting; sports and recreation activities
2015,TLC23,94,410,10,Sunderland,Activities of membership organisations
2015,TLC23,95,160,4,Sunderland,"Repair of computers, personal and household goods"
2015,TLC23,96,250,21,Sunderland,Other personal service activities
