ITL321CD,year,SIC07_code,value,Region_name,SIC07_description
TLL14,2018,DE (35-39),329,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2018,K (64-66),31,South West Wales,Financial and insurance activities
TLL14,2018,O (84),369,South West Wales,Public administration and defence
TLL14,2018,P (85),311,South West Wales,Education
TLL14,2018,T (97-98),23,South West Wales,Activities of households
TLL14,2019,31-32,12,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2019,33,15,South West Wales,Repair and installation of machinery and equipment
TLL14,2019,41,116,South West Wales,Construction of buildings
TLL14,2019,42,72,South West Wales,Civil engineering
TLL14,2019,43,170,South West Wales,Specialised construction activities
TLL14,2019,45,90,South West Wales,Motor trades
TLL14,2019,46,325,South West Wales,Wholesale trade
TLL14,2019,47,399,South West Wales,Retail trade
TLL14,2019,49-51,108,South West Wales,"Land, water and air transport"
TLL14,2019,52,15,South West Wales,Warehousing and transport support activities
TLL14,2019,53,27,South West Wales,Postal and courier activities
TLL14,2019,55,104,South West Wales,Accommodation
TLL14,2019,56,165,South West Wales,Food and beverage service activities
TLL14,2019,58-60,34,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2019,61-63,60,South West Wales,Telecommunications; information technology
TLL14,2019,68,76,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2019,68IMP,628,South West Wales,Owner-occupiers' imputed rental
TLL14,2019,69,52,South West Wales,Legal and accounting activities
TLL14,2019,70,8,South West Wales,Head offices and management consultancy
TLL14,2019,71,24,South West Wales,Architectural and engineering activities
TLL14,2019,72-73,28,South West Wales,Research and development; advertising and market research
TLL14,2019,74-75,31,South West Wales,"Other professional, scientific and technical activities"
TLL14,2019,77,34,South West Wales,Rental and leasing activities
TLL14,2019,78-80,43,South West Wales,Employment activities; tourism and security services
TLL14,2019,81,21,South West Wales,Services to buildings and landscape activities
TLL14,2019,82,19,South West Wales,Office administration and business support activities
TLL14,2019,86,464,South West Wales,Human health activities
TLL14,2019,87,94,South West Wales,Residential care activities
TLL14,2019,88,106,South West Wales,Social work activities
TLL14,2019,90-91,20,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2019,92-93,45,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2019,94,13,South West Wales,Activities of membership organisations
TLL14,2019,95,4,South West Wales,"Repair of computers, personal and household goods"
TLL14,2019,96,89,South West Wales,Other personal service activities
TLL14,2019,AB (1-9),241,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2019,CA (10-12),218,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2019,CB (13-15),12,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2019,CC (16-18),21,South West Wales,Manufacture of wood and paper products and printing
TLL14,2019,CD-CG (19-23),552,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2019,CH (24-25),144,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2019,CI-CJ (26-27),17,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2019,CK-CL (28-30),104,South West Wales,Manufacture of machinery and transport equipment
TLL14,2019,DE (35-39),392,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2019,K (64-66),38,South West Wales,Financial and insurance activities
TLL14,2019,O (84),418,South West Wales,Public administration and defence
TLL14,2019,P (85),333,South West Wales,Education
TLL14,2019,T (97-98),19,South West Wales,Activities of households
TLL14,2020,31-32,8,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2020,33,20,South West Wales,Repair and installation of machinery and equipment
TLL14,2020,41,82,South West Wales,Construction of buildings
TLL14,2020,42,61,South West Wales,Civil engineering
TLL14,2020,43,139,South West Wales,Specialised construction activities
TLL14,2020,45,89,South West Wales,Motor trades
TLL14,2020,46,330,South West Wales,Wholesale trade
TLL14,2020,47,342,South West Wales,Retail trade
TLL14,2020,49-51,93,South West Wales,"Land, water and air transport"
TLL14,2020,52,15,South West Wales,Warehousing and transport support activities
TLL14,2020,53,28,South West Wales,Postal and courier activities
TLL14,2020,55,56,South West Wales,Accommodation
TLL14,2020,56,117,South West Wales,Food and beverage service activities
TLL14,2020,58-60,29,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2020,61-63,38,South West Wales,Telecommunications; information technology
TLL14,2020,68,96,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2020,68IMP,622,South West Wales,Owner-occupiers' imputed rental
TLL14,2020,69,53,South West Wales,Legal and accounting activities
TLL14,2020,70,11,South West Wales,Head offices and management consultancy
TLL14,2020,71,26,South West Wales,Architectural and engineering activities
TLL14,2020,72-73,24,South West Wales,Research and development; advertising and market research
TLL14,2020,74-75,38,South West Wales,"Other professional, scientific and technical activities"
TLL14,2020,77,27,South West Wales,Rental and leasing activities
TLL14,2020,78-80,33,South West Wales,Employment activities; tourism and security services
TLL14,2020,81,22,South West Wales,Services to buildings and landscape activities
TLL14,2020,82,31,South West Wales,Office administration and business support activities
TLL14,2020,86,518,South West Wales,Human health activities
TLL14,2020,87,112,South West Wales,Residential care activities
TLL14,2020,88,117,South West Wales,Social work activities
TLL14,2020,90-91,13,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2020,92-93,35,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2020,94,14,South West Wales,Activities of membership organisations
TLL14,2020,95,9,South West Wales,"Repair of computers, personal and household goods"
TLL14,2020,96,60,South West Wales,Other personal service activities
TLL14,2020,AB (1-9),278,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2020,CA (10-12),240,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2020,CB (13-15),10,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2020,CC (16-18),27,South West Wales,Manufacture of wood and paper products and printing
TLL14,2020,CD-CG (19-23),232,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2020,CH (24-25),120,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2020,CI-CJ (26-27),15,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2020,CK-CL (28-30),80,South West Wales,Manufacture of machinery and transport equipment
TLL14,2020,DE (35-39),369,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2020,K (64-66),34,South West Wales,Financial and insurance activities
TLL14,2020,O (84),446,South West Wales,Public administration and defence
TLL14,2020,P (85),332,South West Wales,Education
TLL14,2020,T (97-98),13,South West Wales,Activities of households
TLL14,2021,31-32,7,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2021,33,16,South West Wales,Repair and installation of machinery and equipment
TLL14,2021,41,122,South West Wales,Construction of buildings
TLL14,2021,42,83,South West Wales,Civil engineering
TLL14,2021,43,150,South West Wales,Specialised construction activities
TLL14,2021,45,110,South West Wales,Motor trades
TLL14,2021,46,435,South West Wales,Wholesale trade
TLL14,2021,47,352,South West Wales,Retail trade
TLL14,2021,49-51,125,South West Wales,"Land, water and air transport"
TLL14,2021,52,18,South West Wales,Warehousing and transport support activities
TLL14,2021,53,24,South West Wales,Postal and courier activities
TLL14,2021,55,100,South West Wales,Accommodation
TLL14,2021,56,165,South West Wales,Food and beverage service activities
TLL14,2021,58-60,42,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2021,61-63,57,South West Wales,Telecommunications; information technology
TLL14,2021,68,92,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2021,68IMP,645,South West Wales,Owner-occupiers' imputed rental
TLL14,2021,69,44,South West Wales,Legal and accounting activities
TLL14,2021,70,15,South West Wales,Head offices and management consultancy
TLL14,2021,71,23,South West Wales,Architectural and engineering activities
TLL14,2021,72-73,23,South West Wales,Research and development; advertising and market research
TLL14,2021,74-75,42,South West Wales,"Other professional, scientific and technical activities"
TLL14,2021,77,39,South West Wales,Rental and leasing activities
TLL14,2021,78-80,29,South West Wales,Employment activities; tourism and security services
TLL14,2021,81,24,South West Wales,Services to buildings and landscape activities
TLL14,2021,82,17,South West Wales,Office administration and business support activities
TLL14,2021,86,537,South West Wales,Human health activities
TLL14,2021,87,131,South West Wales,Residential care activities
TLL14,2021,88,132,South West Wales,Social work activities
TLL14,2021,90-91,27,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2021,92-93,45,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2021,94,23,South West Wales,Activities of membership organisations
TLL14,2021,95,4,South West Wales,"Repair of computers, personal and household goods"
TLL14,2021,96,71,South West Wales,Other personal service activities
TLL14,2021,AB (1-9),291,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2021,CA (10-12),171,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2021,CB (13-15),14,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2021,CC (16-18),15,South West Wales,Manufacture of wood and paper products and printing
TLL14,2021,CD-CG (19-23),191,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2021,CH (24-25),138,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2021,CI-CJ (26-27),24,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2021,CK-CL (28-30),57,South West Wales,Manufacture of machinery and transport equipment
TLL14,2021,DE (35-39),260,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2021,K (64-66),22,South West Wales,Financial and insurance activities
TLL14,2021,O (84),459,South West Wales,Public administration and defence
TLL14,2021,P (85),347,South West Wales,Education
TLL14,2021,T (97-98),16,South West Wales,Activities of households
TLL14,2022,31-32,6,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2022,33,17,South West Wales,Repair and installation of machinery and equipment
TLL14,2022,41,105,South West Wales,Construction of buildings
TLL14,2022,42,75,South West Wales,Civil engineering
TLL14,2022,43,213,South West Wales,Specialised construction activities
TLL14,2022,45,95,South West Wales,Motor trades
TLL14,2022,46,503,South West Wales,Wholesale trade
TLL14,2022,47,323,South West Wales,Retail trade
TLL14,2022,49-51,158,South West Wales,"Land, water and air transport"
TLL14,2022,52,18,South West Wales,Warehousing and transport support activities
TLL14,2022,53,26,South West Wales,Postal and courier activities
TLL14,2022,55,132,South West Wales,Accommodation
TLL14,2022,56,154,South West Wales,Food and beverage service activities
TLL14,2022,58-60,46,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2022,61-63,75,South West Wales,Telecommunications; information technology
