ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLJ2,"Surrey, East and West Sussex",F (41-43),Construction,2188,2587,2847,2917,3387,3421,3558,3711,4007,4544,4661,3852,4046,4121,4067,4347,4915,5384,5204,5484,5784,6342,5295,5910,6598,7593
TLJ2,"Surrey, East and West Sussex",G-T,Services sector,33956,35748,37550,39650,40554,42165,43634,46072,49335,50610,53663,53853,54707,55172,57706,59757,61752,63953,65711,67397,68869,72296,71282,74560,81941,89027
TLJ3,Hampshire and Isle of Wight,A-E,Production sector,5577,5465,5530,5163,5374,5689,5675,5659,5568,5734,6012,5949,6287,6555,6843,7395,7294,7381,7274,7712,7972,8728,9609,8627,8531,8986
TLJ3,Hampshire and Isle of Wight,F (41-43),Construction,1526,1622,1852,2027,2255,2455,2554,2915,2864,3034,2973,2491,2525,2705,2813,2992,3226,3435,3655,3975,3960,4175,3787,3831,4095,4237
TLJ3,Hampshire and Isle of Wight,G-T,Services sector,20835,21383,22651,24433,25633,26394,28301,29818,31113,32926,34838,35078,36281,37320,38398,39432,40950,42189,43122,44946,46143,49112,46308,50258,54216,59400
TLJ4,Kent,A-E,Production sector,4247,4383,4201,4050,4258,4448,4322,4368,4284,4340,4703,4311,4387,4433,4651,4812,4890,5003,5104,5215,5320,5845,5905,5816,5769,6603
TLJ4,Kent,F (41-43),Construction,1477,1668,1676,1846,1980,2258,2300,2675,2706,2911,3015,2600,2686,2828,2865,3240,3325,3742,3879,4188,4331,4616,4298,4806,5038,5655
TLJ4,Kent,G-T,Services sector,15319,15737,16460,17371,18064,18968,20324,21478,22311,23189,24858,24192,24937,25759,26267,26846,28103,29406,30950,31916,33257,34789,34138,35628,39310,42707
TLK3,Cornwall and Isles of Scilly,A-E,Production sector,993,956,974,988,1096,1178,1165,1170,1186,1207,1345,1323,1287,1358,1412,1496,1639,1611,1612,1837,1830,1839,1821,1883,1884,1936
TLK3,Cornwall and Isles of Scilly,F (41-43),Construction,314,347,389,390,451,482,519,606,620,656,636,564,589,599,623,687,745,838,879,988,991,1020,1030,1036,1182,1224
TLK3,Cornwall and Isles of Scilly,G-T,Services sector,3619,3776,4009,4285,4569,4985,5210,5487,5972,6067,6393,6082,6179,6343,6534,6661,6790,7020,7451,8034,8331,8621,8150,9775,10466,11291
TLK4,Devon,A-E,Production sector,2775,2786,2716,2802,2841,2742,2760,2690,2917,2956,3172,3097,3144,3316,3435,3599,3732,3659,3697,4028,4015,4006,3848,4242,4527,4870
TLK4,Devon,F (41-43),Construction,715,862,903,914,1087,1287,1422,1446,1490,1511,1484,1333,1413,1367,1350,1452,1530,1783,1786,1870,1932,2035,1604,1936,2397,2694
TLK4,Devon,G-T,Services sector,9125,9592,9947,10462,10970,11728,12949,13656,14404,14599,15150,14961,15522,15754,16090,16592,17089,17608,18312,18855,19197,20024,18969,22361,23785,25583
TLK5,West of England,A-E,Production sector,2422,2491,2558,2512,2731,2893,2969,3004,3285,3252,3455,3302,3301,3410,3379,3110,3013,2832,2947,3144,3006,3197,3058,3076,3425,4349
TLK5,West of England,F (41-43),Construction,704,780,866,1059,1130,1173,1189,1270,1301,1391,1387,1167,1215,1249,1287,1386,1591,1781,1887,2100,2070,2192,1957,2346,2585,2628
TLK5,West of England,G-T,Services sector,10260,10781,11470,12528,13018,13681,14488,15036,15607,16750,17682,18191,19041,19112,20232,20784,22279,22948,24239,25073,25681,26973,26535,29965,32781,36399
TLK6,"North Somerset, Somerset and Dorset",A-E,Production sector,4045,4246,4228,4026,4222,4180,4342,4406,4548,4434,4676,4336,4580,4785,5089,5236,5448,5389,5374,5639,6081,6169,6431,6380,6568,7094
