ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLL2,East Wales,F (41-43),Construction,741,823,857,983,1051,1132,1165,1378,1412,1402,1474,1194,1225,1256,1142,1196,1246,1378,1501,1508,1635,1652,1654,1581,1795
TLL2,East Wales,G-T,Services sector,9664,10178,10820,11467,12056,13086,13900,14398,15058,16002,15853,16116,16330,16900,17795,17930,18242,18807,19751,20274,21026,21999,21417,23120,25125
TLM5,North Eastern Scotland,A-E,Production sector,2695,2541,2450,2570,2676,2450,2522,2769,3273,3682,4227,4047,4107,4100,4584,4831,5098,5066,4212,4328,4226,4341,3864,4049,4481
TLM5,North Eastern Scotland,F (41-43),Construction,520,490,519,536,561,589,676,710,750,816,935,727,759,798,807,843,862,928,930,1013,971,972,798,690,770
TLM5,North Eastern Scotland,G-T,Services sector,5018,5183,5442,5963,6227,6532,6926,7213,8121,9096,9889,9995,10296,10762,11206,11983,12497,11952,11340,11141,11491,11619,10721,11349,12655
TLM6,Highlands and Islands,A-E,Production sector,1411,1325,1335,1295,1379,1438,1550,1648,1752,1773,2022,2099,2171,2376,2442,2478,2601,2580,2494,2818,2841,3037,2701,2922,3112
TLM6,Highlands and Islands,F (41-43),Construction,371,427,443,421,447,540,570,634,650,697,746,621,636,652,654,741,796,828,820,843,868,889,676,881,1024
TLM6,Highlands and Islands,G-T,Services sector,3615,3906,4064,4395,4409,4857,5270,5602,5831,6031,6304,6273,6353,6655,6731,6952,7130,7217,7425,7894,8028,8301,8001,8362,9166
TLM7,Eastern Scotland,A-E,Production sector,6692,6298,6181,5875,5868,6072,6299,6354,7084,7147,7643,7391,7314,6934,7087,7455,7658,7988,8363,8383,8400,8878,8561,9315,10000
TLM7,Eastern Scotland,F (41-43),Construction,1273,1497,1538,1614,1827,1896,2185,2323,2571,2788,2652,2096,2023,2077,2179,2465,2572,2644,2681,2967,3026,2934,2386,2912,3434
TLM7,Eastern Scotland,G-T,Services sector,17916,18323,19742,21436,22900,24868,26618,28236,29601,31135,31629,33000,33178,34041,35414,36628,38315,39307,41378,43719,45156,47312,44985,48810,53407
TLM8,West Central Scotland,A-E,Production sector,4087,3688,3665,3644,3756,3879,4089,4210,4557,4329,4660,4550,4278,4436,4581,4688,5004,4798,4622,5029,5111,5494,5946,6016,6264
TLM8,West Central Scotland,F (41-43),Construction,1269,1370,1483,1465,1529,1680,1667,1876,2038,2145,2306,1857,1882,1940,1940,2052,2151,2335,2322,2503,2443,2494,2133,2449,2817
TLM8,West Central Scotland,G-T,Services sector,14716,15366,16013,17454,17888,18864,20398,21943,22831,23476,24421,24600,24296,25001,25426,26638,28204,28680,29568,31081,31882,33243,31585,34522,37561
TLM9,Southern Scotland,A-E,Production sector,3371,3217,3304,3241,3303,3442,3451,3468,3851,3806,3976,4004,3834,3906,4031,4224,4529,4260,4034,4268,4302,4374,4214,4046,4588
TLM9,Southern Scotland,F (41-43),Construction,629,686,739,730,765,841,858,957,1053,1099,1179,978,981,1004,1024,1125,1195,1292,1394,1446,1387,1401,1221,1362,1540
TLM9,Southern Scotland,G-T,Services sector,6382,6670,6951,7559,7795,8194,8732,9343,9831,10037,10593,10511,10561,10834,10995,11360,11690,11941,12401,13104,13211,13613,12931,13813,14894
TLN0,Northern Ireland,A-E,Production sector,4831,4980,5322,5164,5225,5394,5492,5565,5811,5925,6165,6164,6183,5964,6570,7226,7207,7946,7926,7521,7609,8301,7895,7917,8557
TLN0,Northern Ireland,F (41-43),Construction,1202,1427,1660,1859,1937,2184,2345,2695,2963,3108,2820,2140,2034,2008,1847,1952,2146,2499,2691,2801,3104,3425,2988,3479,4067
TLN0,Northern Ireland,G-T,Services sector,13581,14314,15375,16251,16883,18388,19404,20496,21722,22544,22957,23062,22803,23684,24557,24863,25765,25958,27972,29844,30693,32091,31227,34798,37277
